TIME,PRESSURE
0,101325
1,101325
2,101325
3,101325
4,101325
5,101325
6,100911
7,100499
8,100091
9,99687
10,99288
11,98895
12,98508
13,98129
14,97758
15,97396
16,97045
17,96703
18,96373
19,96055
20,95749
21,95456
22,95177
23,94913
24,94663
25,94428
26,94208
27,94005
28,93818
29,93648
30,93495
31,93360
32,93242
33,93141
34,93059
35,92995
36,92949
37,92921
38,92912
39,92912
40,92912
41,92912
42,93014
43,93115
44,93217
45,93319
46,93421
47,93523
48,93625
49,93727
50,93829
51,93932
52,94034
53,94137
54,94239
55,94342
56,94445
57,94548
58,94651
59,94754
60,94857
61,94960
62,95064
63,95167
64,95271
65,95374
66,95478
67,95582
68,95686
69,95790
70,95894
71,95998
72,96102
73,96206
74,96311
75,96415
76,96520
77,96625
78,96730
79,96835
80,96940
81,97045
82,97150
83,97255
84,97360
85,97466
86,97571
87,97677
88,97783
89,97889
90,97995
91,98101
92,98207
93,98313
94,98419
95,98526
96,98632
97,98739
98,98845
99,98952
100,99059
101,99166
102,99273
103,99380
104,99487
105,99595
106,99702
107,99809
108,99917
109,100025
110,100133
111,100240
112,100348
113,100457
114,100565
115,100673
116,100781
117,100890
118,100998
119,101107
120,101216
121,101325
122,101325
123,101325
124,101325
125,101325
